benefit - benefit
Company,welfare
富邦人壽保險股份有限公司_彰育通訊處(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
韓商煒伲雅大宇股份有限公司,"1.年終獎金
2.勞、健保
3.週休二日
4.特休年假
5.交通費補助"
富邦人壽保險股份有限公司_富田通訊處(林妍君)(核準文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動。
泉聲電子股份有限公司,
富邦人壽保險股份有限公司_平鎮展業處(杜宛璇),展業員(含)以上職級享:1.勞基法保障、健保、團保(公單保費 由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終 獎金、節慶獎金、業務競賽獎勵及其旅遊活動;2.富邦以照顧 員工權益、善盡社會責任為經營目標，提供員工產假天數優於 法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_西湖獨立課(核淮文號109A02號),展業員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富優通訊處(吳柏辰)(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
國泰人壽保險股份有限公司_展業北北通訊處(施國強)(核準文號20181025AA4001),"【教育訓練】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
【其他福利】
1. 勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 社團活動、退休制度、完善的教育訓練、週休二日。"
五福旅行社股份有限公司,"1.享勞保、健保、就保、職業災害保險、勞工退休金、團保
2.國定假日、年資特休假、週休二日、陪產假
3.年度員工國內外旅遊、員工優惠價國內外旅遊
4.婚喪喜慶生育補助、三節禮金或禮品、年終獎金、業務績效獎金
5.完整教育訓練課程(基礎訓練、專業訓練)、晉升管道暢通
6.外國旅遊機關及業者邀請之學習旅遊
7.多項員工身心發展訓練(員工紓壓、家庭親子課程…等)
8.管理、行銷、產品、業務等多元職缺提供完善學習機會"
康樂富科技行銷有限公司,"我們完善的培訓計畫與升遷制度，也提供全方位的照顧及保障，我們創造一個像家一樣貼心的舞台，期待充滿熱情的人才加入。 
1. 員工分紅配股
2. 升遷管道自由暢通 
3. 勞保、健保、團保 
4. 不定期舉辦旅遊活動及員工活動(國內國外員工旅遊/電影欣賞日/不定期聚餐)"
某辦事處,勞、健保，勞工退休金
台灣寬頻通訊顧問股份有限公司,"本公司所有制度皆符合勞基法之規定，通過試用期之正職人員並額外享有以下福利：
1.週休二日
2.優於勞基法之年假
3.高額團體保險
4.免費或補助收看有線電視、數位電視及寬頻網路
5.免費年度健康檢查
6.三節禮金、生日禮金及婚喪喜慶補助
7.年度家庭日活動"
美歐行銷有限公司,工廠提供食宿，有年假+年終獎金，其他福利可面議
國泰人壽保險股份有限公司_城中通訊處(黃智富) (認證編號20190218A11001),"【教育訓練】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
【其他福利】
1. 勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 社團活動、退休制度、完善的教育訓練、週休二日。"
富邦人壽_信義展業處(周杰儀)(核准文號108A02號),展業員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
新光人壽保險股份有份公司_松山通訊處(王上敏),"制度： 
(1)一年分為13個工作月，工作月日期依公司規定 
(2)提供基本薪、出勤津貼、最低工資及漾財務補助津貼 
(3)佣金、競賽獎金、年終獎金另計 
(4)勞健保及團體保險 
(5)新光醫院健檢及住院折扣 
(6)新光人壽購物平台(新光友購站)核發三節、生日點數 
(7)婚喪生育補助金 
(8)職工福利委員會及社團活動 
(9)退休金 

福利制度： 
(1)完整的教育訓練 
(2)升遷管道暢通依自己規劃及努力程度晉升"
富邦人壽保險股份有限公司_中雅通訊處(詹峻寧先生)(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
新光人壽保險股份有限公司_圓山收費處(張娟娟),"福利：1.勞健保及團體保險2.新光醫院健檢及住院優待3.三節禮品4.生日禮物 5婚喪生育補助金.6職工福利委員會及社團活動7.退休金。
制度：1.完整的教育訓練2.升遷管道暢通依自己規劃及努力程度晉升3.薪資另加年終獎金4.每週週休二日。"
國泰人壽保險股份有限公司_專招永和通訊處(黃靖雯),"※ 教育訓練
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各
項研習機會和進修課程！
制式內容不得變更
※ 其他福利
1. 勞、健保、員工福利團體保險、意外險
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物
3. 子女教育補助費、登山健行、春秋二季旅遊
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠
5. 社團活動、退休制度、完善的教育訓練、週休二日"
富邦人壽保險股份有限公司_富安泰山區辦公室(許瑞媛)(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
國泰人壽保險股份有限公司_展業北縣通訊處(褚真慧小姐),"※ 教育訓練 
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
※ 其他福利 
1. 勞、健保、員工福利團體保險、意外險 
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物 
3. 子女教育補助費、登山健行、春秋二季旅遊 
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠 
5. 社團活動、退休制度、完善的教育訓練、週休二日"
寶籃實業股份有限公司,"◆ 獎金 / 禮品類
　 1.年終獎金
　 2.三節禮金/禮品
　 3.生日禮金/禮品
◆ 保險類
　 1.勞保
　 2.健保
 ◆ 請 / 休假制度
　 1.週休二日
　 2.特休/年假
　 3.陪產假
◆ 補助類
　 1.結婚禮金
　 2.生育津貼
　 3.住院慰問金
　 4.退職金提撥"
國泰人壽保險股份有限公司_展業樹林通訊處(簡誌緯),"【教育訓練】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
【其他福利】
1. 勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 社團活動、退休制度、完善的教育訓練、週休二日。"
奧路詩美漾生技有限公司,"法定項目
勞保、健保、加班費、週休二日、生理假、員工體檢、職災保險

福利制度
獎 金 類：全勤獎金、年節獎金、年終獎金、三節獎金、激勵獎金、績效獎金
休 假 類：旅遊假
保 險 類：意外險
娛 樂 類：國外旅遊、員工定期聚餐、尾牙、春酒
補 助 類：員工國內、外進修補助、國內、外旅遊補助
其 　他：員工在職教育訓練、良好升遷制度"
富邦人壽_竹宸通訊處(鍾武昌)(核准文號108A01),1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_花展通訊處(曾敏紘)(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
力音興業股份有限公司,勞健保、尾牙聚餐、團體意外傷害險、週休二日
國泰人壽保險股份有限公司_展業北東通訊處(謝佳倩),"※ 教育訓練 
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
※ 其他福利 
1. 勞、健保、員工福利團體保險、意外險 
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物 
3. 子女教育補助費、登山健行、春秋二季旅遊 
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠 
5. 社團活動、退休制度、完善的教育訓練、週休二日"
富邦人壽保險股份有限公司_富巨通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
遠雄人壽保險事業股份有限公司_興盛營業處(張慧玲區經理),本公司為承攬制度，各職級展業主管及人員皆享有高績效、高報酬的各項承攬獎勵津貼補助，並可享有團體保險優惠專案。以及國、內外各項獎勵旅遊活動。
國泰人壽保險股份有限公司_專招大豐通訊處(曾台郇),"※ 教育訓練
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！
※ 其他福利
1. 勞、健保、員工福利團體保險、意外險
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物
3. 子女教育補助費、登山健行、春秋二季旅遊
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠
5. 社團活動、退休制度、完善的教育訓練、週休二日"
新光人壽保險股份有限公司_內湖收費處(林哲宇),"◆ 獎金 / 禮品類
　1.年終獎金
　2.三節禮金/禮品
◆ 保險類
　1.員工團保
　2.眷屬團保
◆ 制度類
　1.績效獎金
　2.完整的教育訓練
　3.順暢的升遷管道
◆ 請 / 休假制度
　1.週休二日
　2.特休/年假
　3.女性同仁生理假
◆ 其他
　1.員工貸款
　2.健康檢查
其他福利：
1.提撥離職金、退休金。
2.享勞、健保、團體保險。
3.撫卹金。
4.行銷、增員獎金。
5.年終獎金。
6.公積金。
7.節慶獎金+禮品(春節、端午節、中秋節、生日)。
8.房貸優惠利率。
9.業務競賽、國外旅遊活動。"
富邦人壽保險股份有限公司_花鯉通訊處(核准文號108A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
大陸商上海長園維安電子線路保護有限公司,"◆ 獎金/禮品類 
1.年終獎金 
2.三節獎金

◆ 保險類 
1.勞保、健保 

◆ 制度類 
1.員工制服 
2.績效獎金 
3.教育訓練 
 
◆ 請 / 休假制度 
1.週休二日 
2.特休/年假 

◆ 補助類 
1.停車費補助 
2.公務機通話費補助"
新光人壽保險股份有限公司_萬華通訊處(彭柏諺),"(1)完整的教育訓練
(2)升遷管道暢通依自己規劃及努力程度晉升
制度
(1)一年分為13個工作月，工作月日期依公司規定
(2)提供基本薪,出勤津貼,最低工資及漾財務補助津貼
(3)佣金,競賽獎金、年終獎金另計
(4)勞健保及團體保險
(5)新光醫院健檢及住院折扣
(6)新光人壽購物平台(新光友購站)核發三節、生日點數
(7)婚喪生育補助金
(8)職工福利委員會及社團活動
(9)退休金"
新光人壽保險股份有限公司_士林通訊處(何薇),"制度：
(1)一年分為13個工作月，工作月日期依公司規定
(2)新進3-6個月培訓期間每月工時30小時工資為4500元
(3)競賽獎金、年終獎金另計
(4)勞健保及團體保險
(5)新光醫院健檢及住院折扣
(6)新光人壽購物平台(新光友購站)核發三節、生日點數
(7)婚喪生育補助金
(8)職工福利委員會及社團活動
(9)退休金
福利制度：
(1)完整的教育訓練
(2)升遷管道暢通依自己規劃及努力程度晉升"
優耐電子股份有限公司,勞保，健保，員工意外險，員工制服，國內外旅遊，教育訓練，三節禮金，生育、婚喪補助金，業績獎金，週休二日
新光人壽保險股份有限公司_龍安通訊處(謝宗霖),"法定保障：勞保、健保、新制退休金提撥

福利制度
保險福利：團保
休假制度：週休二日
獎金制度：績效獎金
其他福利：教育訓練、進修
(1)完整的教育訓練
(2)升遷管道暢通依自己規劃及努力程度晉升
(3)旅遊獎勵補助
(4)員工房貸優惠
(5)不定期餐敘"
國泰人壽保險股份有限公司_忠孝分公司(林松霈),"※ 教育訓練
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程!
※ 其他福利
1. 勞、健保、員工福利團體保險、意外險
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物 
3. 子女教育補助費、登山健行、春秋二季旅遊
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠 
5. 社團活動、退休制度、完善的教育訓練、週休二日"
富邦人壽保險股份有限公司_暉弘展業處(李正常)(核准文號108A02號),展業員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
新光人壽保險股份有限公司_景安收費處,"福利：
（1）一年分為十三個工作月，工作月日期依公司規定
（2）新進3～6個月培訓期間每月工時30小時，工資為4500元
（3）佣金、競賽獎金、年終獎金另計
（4）勞健保及團體保險
（5）新光醫院體檢及住院折扣
（6）新光人壽購物平台（新光友購站）核發三節、生日點數
（7）婚喪生育補助金
（8）職工福利委員會及社團活動
（9）退休金
福利制度：
（1）完整的教育訓練
（2）升遷管道通暢依自己規劃"
國泰人壽保險股份有限公司_板橋通訊處(陳宛儀襄理),"【教育訓練】 配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練！ 
【其他福利】 
1.享勞、健保、員工福利團體保險、意外險。
2.年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3.子女教育補助費、登山健行、春秋二季旅遊。
4.年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5.退休制度、完善的教育訓練、週休二日。"
富邦人壽中山通訊處(核准文號108A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
香港商景爍皮具股份有限公司,"*保險類:
  1.勞保
  2.健保
  3.勞退金提撥
*獎金:年終獎金
*休假制度
  依勞基法規定"
新光人壽保險股份有限公司_宏業收費處(5區/6區),"法定保障：勞保、健保、新制退休金提撥、產假、育嬰留停 
保險福利：團保/眷屬團保 
休假制度：週休二日 
獎金制度：三節禮品、生日禮品/年終獎金 
補助津貼：績優人員旅遊補助/福委會/婚喪生育補助金/員工貸款 
休閒娛樂：績優人員國內員工旅遊/績優人員國外員工旅遊/尾牙/社團 
其他福利：員工健康檢查/教育訓練、進修/社團活動/績優人員國內外旅遊/國內飯店簽約優惠/員工購物優惠 
更多福利：新光提供之員工福利包括三節禮品、婚喪生育補助金、生日禮品、員工房貸優惠、健全的退休金制度、每年定期免費的健康檢查及不定期的醫療優惠方案，職工福利委員會、員工餐廳。"
國泰人壽保險股份有限公司_專招昌峰通訊處,"※ 教育訓練 
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練！ 
※ 其他福利
1 享勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 退休制度、完善的教育訓練、週休二日。"
攀時股份有限公司,Plansee is an Austrian base company with the goal of customer satisfaction and employee preference. Ambitious and committed to your career? The Plansee Group and its divisions offer a dynamic environment with attractive opportunities to move ahead. Visit our web site : www.plansee.com for more details and join us !
遠雄人壽保險事業股份有限公司_承柏營業處(陳奕榛),"本公司為承攬制度，各職級展業主管及人員皆享有高績效、高報酬的各項承攬獎勵津貼補助，
並可享有團體保險優惠專案。以及國、內外各項獎勵旅遊活動。
"
中國人壽保險股份有限公司_鴻海通訊處_核可文號:中壽北A業支網第18090401號,"一般業務同仁之福利

1.傭金、按件計酬
2.年度績效獎金
3.國、內外競賽旅遊
4.完整的教育訓練
5.優惠自費團體保險
6.專案新人9個月內符合規定者，可領取每月固定津貼

◎主管級以上另外享有以下之福利

1.結婚禮金
2.生育禮金
3.婚葬補助
4.重大疾病／重大意外事故致禮金
5.子女教育獎學金
6.員工育嬰假
7.勞保、健保及勞工退休金提繳
8.特休假
9.公費團體保險"
富邦人壽保險股份有限公司_邦揚通訊處(鄭淑美)(核准文號108A01號),"【業務通路、多元通路-整銷】行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
尚達新材有限公司,"◆ 獎金/禮品類
1.年終獎金
2.勞動節獎金
3.中秋節獎金
◆ 保險類
1.勞保
2.健保
◆ 請 / 休假制度
1.特休/年假
2.陪產假
3.家庭照顧假
4.女性同仁生理假
◆ 其他
週休二日 
◆ 補助類
1.退職金提撥
2.公務機通話費補助
3.提供公務車"
柏迪司克國際有限公司,"1. 年終獎金   2. 褔利金，褔利委員會    3.勞退新制  4. 週休二日    5. 至歐美國家參展機會

公司地理交通方便,位於捷運台電大樓站,3號出口約步行二分鐘"
富邦人壽保險股份有限公司_富智通訊處(許廷耀)(核准文號108A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_彰泰通訊處(蔡佳雯)(核准文號108A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_彰富通訊處(核准文號108A01號)(皇甫建明),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富宅通訊處(陳宇潔)(核准文號108A01),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
福星製衣廠股份有限公司,
富邦人壽保險股份有限公司_中環通訊處(何玉珍)核准文號108A01,行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_竹科通訊處(顏世偉)(核准文號109A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富謙通訊處(吳柏陞)(核准文號108A01號),"【業務通路、多元通路-整銷】行銷專員(含)以上職級享：
【多元通路-服展】展業員(含)以上職級享：
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽_富林通訊處(核准文號108A01號),"行銷專員(含)以上職級享： 
1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動； 
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_花貴一分處(核准文號108A01號)(余仲彬),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
順益貿易股份有限公司,"勞保、健保、週休二日、男性員工陪產假、育嬰假、生理假
獎金類：員工生日禮金、年終獎金
居住類：員工宿舍
娛樂類：國內旅遊、國外旅遊、尾牙
補助類：員工結婚補助、生育補助、子女教育補助、員工及眷屬喪葬補助、社團補助
其他：員工在職教育訓練"
富邦人壽保險股份有限公司_富莊通訊處(黃寬寬)(核准文號FB10701),行銷專員(含)以上職級享：勞基法保障、健保、團保、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動。
新加坡商德利環球有限公司台灣分公司,"◆ 保險類
	1.勞保
	2.健保

◆ 請 / 休假制度
	1.特休/年假"
喬訊電子工業股份有限公司,"1.享勞、健保    
2.週休二日
3.年終獎金
4.三節獎金"
新光人壽保險股份有限公司_團體意外險部_台北通訊處(游浚豪),新光提供之員工福利包括三節獎金、婚喪禮金、生日禮品、員工福利保險、員工房貸優惠、健全的退休金制度、每年定期免費的健康檢查及不定期的醫療優惠方案，職工福利社、員工餐廳及多樣的關係企業優惠員購方案等。
富邦人壽保險股份有限公司_士林展業處(陳元杰)(核准文號108A02號),展業員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富好通訊處(卓郁閔)(核准文號FB10801號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽_竹科通訊處(林佳慧)(核准文號108A01號),行銷專員(含)以上職級享:1.勞基法保障、健保、團保(公單保 費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年 終獎金、節慶獎金、業務競賽獎勵及其旅遊活動;2.富邦以照 顧員工權益、善盡社會責任為經營目標，提供員工產假天數優 於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
中國人壽保險股份有限公司_鴻海通訊處(林靜禧)_中壽-北A業支網第18100301號,"◎ 一般業務同仁之福利

1.佣金、按件計酬
2.年度績效獎金
3.國、內外競賽旅遊
4.完整的教育訓練
5.優惠自費團體保險
6.專案新人9個月內符合規定者，可領取每月固定津貼
 
◎ 主管級以上另外享有以下之福利

1.結婚禮金2.生育禮金3.喪葬補助
4.重大疾病/重大意外事故致禮金
5.子女教育獎學金
6.員工育嬰假
7.勞保、健保及勞工退休金提繳
8.特休假
9.公費團體保險"
衛生福利部疾病管制署,
國泰人壽保險股份有限公司_專招泰暘通訊處,"【教育訓練 】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練！ 
 【其他福利】
1.享勞、健保、員工福利團體保險、意外險。
2.年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3.子女教育補助費、登山健行、春秋二季旅遊。
4.年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5.退休制度、完善的教育訓練、週休二日。"
富邦人壽保險股份有限公司_某通訊處,行銷專員(含)以上職級享： 1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽_富源通訊處(李家豪)(核准文號108A01),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽_TP825富合蘆竹分處(陳禎慧)(核准文號108A01號),"行銷專員(含)以上職級享：1.勞基法保障、健保、團保(公單保
費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年
終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照
顧員工權益、善盡社會責任為經營目標，提供員工產假天數優
於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_高采通訊處(核准文號109A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
頡泰電子股份有限公司,週休二日，年度旅遊，享勞、健保
香港商信維通信有限公司台灣分公司,"員工教育訓練
定時聚餐
享勞健
週休二日 
到職即享有特休假
國內外出差交通補助                 　　　  　     　　　　　　  
勞退新制"
